id,latent_0,latent_1,latent_2,latent_3,latent_4
0L9LjNOMnZs9rijxjpLs8q,0.5255855,0.96624655,0.17705786,1.6170719,-0.045881554
0Vjsr4eEPWeIpMlFhKsPyZ,-0.51976526,1.072729,-0.4109428,-0.75716543,0.43774813
751ruMdaUhzvtDlUag42kj,0.5644399,1.4725144,-0.043807447,-0.35830688,1.7941697
6KvEf58tIp8s392Dfj093j,0.9266524,-0.4994802,-0.7628365,0.3292269,0.61577
6wXsn3APb9nLxmDqxmEP8g,-1.0959172,-1.8750212,-0.79166037,-0.99189734,0.44782522
4p8g9SRvObsdJnbBn00Fpk,0.2082367,0.40426022,-0.76230943,1.0005691,0.3113392
5KfBMHdphTiv701JsJz2M5,1.1117107,0.2865696,0.59497994,-1.1933676,-0.26763695
2XDQep0U6GV4PvjEglXvOZ,1.8798087,2.5382006,-0.053989895,-0.29622787,0.0030104746
4uTJfl5bIG4mPJvINyw18A,0.17347187,-0.5747328,0.8599026,1.8932738,-1.3978746
0uElogcEAF31T1zdUbQbZJ,-0.6670192,-0.049213506,-1.2644277,-0.51551,-0.27666897
6wi9pLnfBd0vPHZvcXBuNN,-0.88327736,1.0632695,-0.3459782,-0.04638756,-0.6210279
5m1wWMkgnH9rEifL4jqGVL,0.2878436,-0.22101471,0.64204365,1.7423722,1.5376912
4wQoHRHxSJJBvxtVN9aLSC,1.7333735,0.43380433,-0.019600157,-1.4354377,2.0165584
6AQJRW3QSQF1C2kRJtm95x,0.5611005,0.4322433,-0.5359796,-1.1900105,-0.2629761
2sw9Wcn4JHk5t0S9VarniR,-0.2619925,-0.368544,0.46465072,-0.7730814,0.39620906
6v48yYK2JZQ6uQi70mEXPY,1.1531975,-0.8595214,1.583815,0.8649714,1.2656981
61zY3rTZxCF2aerIAMN8xl,-0.14884044,0.29789707,-0.7911272,-1.6183957,-0.008256546
1eVvykv2C3qDVcYhEm7zY2,1.0319269,-0.6668742,-0.51750326,-1.1376702,0.66927093
1bEFt09KMVkJ4tcKBOihkz,1.0422602,0.05336551,1.6469066,1.8053191,0.15932974
3qk7fR47UJhaPGFdWQjVPc,0.28959733,1.0596269,-0.33853045,-0.44487995,-0.41567245
36WJvewriSqH88qx7b4AIp,1.6266519,1.29057,-0.47967434,-0.05916828,-0.91294944
4JFKgvJhS6isd1UpK6khs2,0.28568414,-0.6099764,-0.10059036,-0.36971042,0.21350937
0BBE4uwsA27zXmK7T9c2xb,-0.0880917,0.2876375,0.6103578,0.17440517,0.7507201
01bMpqmvH031R417l3AQTA,0.13768104,-0.41334233,0.093218036,0.3238718,0.58160543
1Si3sqUkvIj6Cz9JYO14OS,-0.39875615,-0.03764199,0.05513887,-2.405096,0.5121941
29IkqhuWuyoHUgQrSVllzc,-0.68363184,1.8046892,-3.0350354,0.7652399,1.0777665
1xeUB2DI5B4vIlzo6wrlSG,0.6330777,1.0252957,-0.44094694,0.8154461,-0.02706573
3oZJiwyGeuecKrlv5p5kj2,0.4999908,-0.31519714,0.3674069,-1.5227585,1.7242019
6sqoMVcJZZCWmHotvjuvaT,-0.038999006,0.21034479,-0.64294225,-0.37450853,-1.0853584
5aSKWsFJNNEITXEMc5S1xm,-1.6846339,0.790212,0.19341056,0.9306324,2.6185048
30ssAaj0qfOoaKLPvCPcK4,0.5802537,0.81906927,0.9922702,-0.6846754,1.1954298
2CbTKuUqDrLc3m6Yt9w2UM,0.33654413,0.24649346,1.7862375,-0.24831618,-0.74052435
4lzOb7A0xfdcYtV7YVr4Aa,-0.031963192,-0.24187213,-1.4338332,0.069191046,-1.4063615
4tLnc1sJw4PA2xo1TDhUt4,0.5793046,-2.1851633,-1.6948209,-1.5394616,-0.93199563
1oGSN6roL6PH3YagcZvITX,-1.0509849,-1.0214912,-0.62974334,-1.7291056,-0.7334855
4kqhkNAXBrVcVM8Ub7rth9,-0.46464014,-0.53223497,-1.3276365,0.4129556,1.272662
1TzPKdkOTmS2OK4I7VnXOO,-0.14282706,0.6244367,2.2398582,-0.7446687,0.6096875
6AsyPINL7tOcprvAGDTnJq,0.6858895,0.5768564,-0.30998373,-0.62643415,-1.9751111
19C3XdBl2nScqB7fkqNA9N,-0.13528822,-0.110557795,-1.0063474,-0.5241002,-1.2748679
